XDATA	YDATA	
0.00059988	0.0025
0.00119976	0.0638
0.00179964	0.0488
0.00239952	0.0238
0.0029994	-0.0288
0.00359928	-0.0125
0.00419916	0.0737
0.00479904	0.0638
0.00539892	-0.0088
0.0059988	0.01
0.00659868	0.0025
0.00719856	-0.0187
0.00779844	-0.0013
0.00839832	0.0138
0.0089982	0.01
0.00959808	0.0325
0.01019796	-0.01
0.01079784	-0.0713
0.01139772	-0.0125
0.0119976	0.0475
0.012597481	0.0325
0.013197361	-0.0288
0.013797241	-0.0025
0.014397121	0.0175
0.014997001	-0.0737
0.015596881	-0.0887
0.016196761	0.1138
0.016796641	0.1138
0.017396521	-0.0737
0.017996401	-0.0838
0.018596281	0.0362
0.019196161	0.0238
0.019796041	-0.0187
0.020395921	0.0138
0.020995801	0.0575
0.021595681	0.0513
0.022195561	-0.0225
0.022795441	-0.0375
0.023395321	0.0513
0.023995201	0.0863
0.024595081	0
0.025194961	-0.0663
0.025794841	-0.005
0.026394721	0.0425
0.026994601	0.0175
0.027594481	-0.005
0.028194361	0.005
0.028794241	0.0112
0.029394121	-0.0288
0.029994001	-0.0187
0.030593881	0.0213
0.031193761	0.0313
0.031793641	0
0.032393521	-0.0513
0.032993401	-0.0612
0.033593281	0.035
0.034193161	0.06
0.034793041	-0.03
0.035392921	-0.0413
0.035992801	0.0325
0.036592681	-0.0187
0.037192561	-0.0275
0.037792442	0.0663
0.038392322	0.065
0.038992202	-0.0213
0.039592082	-0.0688
0.040191962	-0.03
0.040791842	0.0762
0.041391722	0.0875
0.041991602	-0.0025
0.042591482	-0.0225
0.043191362	0.005
0.043791242	-0.0125
0.044391122	0.0163
0.044991002	0.0625
0.045590882	0.0387
0.046190762	-0.0112
0.046790642	-0.0238
0.047390522	-0.0088
0.047990402	0.0288
0.048590282	0.0125
0.049190162	-0.0063
0.049790042	0.0262
0.050389922	-0.025
0.050989802	-0.0825
0.051589682	0.01
0.052189562	0.0838
0.052789442	0.0138
0.053389322	-0.0438
0.053989202	-0.055
0.054589082	-0.0063
0.055188962	0.0462
0.055788842	0.0225
0.056388722	0.01
0.056988602	0.0225
0.057588482	-0.0475
0.058188362	-0.0762
0.058788242	0.065
0.059388122	0.0963
0.059988002	-0.0187
0.060587882	-0.025
0.061187762	-0.0112
0.061787642	-0.0225
0.062387522	0.0288
0.062987403	0.05
0.063587283	0.0475
0.064187163	0.0175
0.064787043	-0.0262
0.065386923	-0.0387
0.065986803	-0.0013
0.066586683	0.0163
0.067186563	0.045
0.067786443	0.0425
0.068386323	-0.0288
0.068986203	-0.065
0.069586083	-0.0163
0.070185963	0.0475
0.070785843	0.0387
0.071385723	-0.0037
0.071985603	-0.0175
0.072585483	0.0238
0.073185363	0.0063
0.073785243	-0.0563
0.074385123	0.0125
0.074985003	0.1113
0.075584883	0.0088
0.076184763	-0.0813
0.076784643	-0.005
0.077384523	0.0638
0.077984403	0.0025
0.078584283	-0.0225
0.079184163	0.0262
0.079784043	0.07
0.080383923	0.0125
0.080983803	-0.075
0.081583683	0.045
0.082183563	0.2425
0.082783443	0.1688
0.083383323	0.0238
0.083983203	-0.015
0.084583083	-0.0075
0.085182963	0.035
0.085782843	0.0513
0.086382723	0.025
0.086982603	0.01
0.087582484	-0.0762
0.088182364	-0.0537
0.088782244	0.07
0.089382124	0.0612
0.089982004	-0.0213
0.090581884	-0.0325
0.091181764	-0.0262
0.091781644	0.0163
0.092381524	0.0275
0.092981404	-0.06
0.093581284	-0.0138
0.094181164	0.0762
0.094781044	-0.0563
0.095380924	-0.1175
0.095980804	0.0675
0.096580684	0.11
0.097180564	0.0013
0.097780444	-0.0375
0.098380324	-0.0525
0.098980204	0.0262
0.099580084	0.0975
0.100179964	-0.0075
0.100779844	-0.0413
0.101379724	0.05
0.101979604	-0.0262
0.102579484	-0.0288
0.103179364	0.075
0.103779244	0.0537
0.104379124	-0.04
0.104979004	-0.0088
0.105578884	-0.0175
0.106178764	0.01
0.106778644	0.04
0.107378524	0.0125
0.107978404	0.0275
0.108578284	0.02
0.109178164	-0.09
0.109778044	-0.08
0.110377924	0.1025
0.110977804	0.0688
0.111577684	-0.065
0.112177564	-0.0575
0.112777445	-0.0025
0.113377325	-0.01
0.113977205	-0.0013
0.114577085	0.0175
0.115176965	0.0362
0.115776845	-0.0063
0.116376725	-0.05
0.116976605	0.0025
0.117576485	0.0325
0.118176365	0
0.118776245	-0.015
0.119376125	0.0313
0.119976005	0.0525
0.120575885	0.0238
0.121175765	-0.0338
0.121775645	-0.0375
0.122375525	0.0713
0.122975405	0.0762
0.123575285	-0.0112
0.124175165	0.0112
0.124775045	0.035
0.125374925	-0.0225
0.125974805	0.0325
0.126574685	0.0863
0.127174565	0
0.127774445	-0.075
0.128374325	0.0075
0.128974205	0.065
0.129574085	0.0013
0.130173965	-0.0375
0.130773845	0.0175
0.131373725	0.0088
0.131973605	-0.0788
0.132573485	-0.02
0.133173365	0.0963
0.133773245	0.0462
0.134373125	-0.0612
0.134973005	-0.0788
0.135572885	-0.0013
0.136172765	0.07
0.136772645	0.0175
0.137372525	-0.01
0.137972406	0.0513
0.138572286	-0.0413
0.139172166	-0.0775
0.139772046	0.1038
0.140371926	0.0963
0.140971806	-0.0663
0.141571686	-0.03
0.142171566	0.0588
0.142771446	0.0225
0.143371326	0.0025
0.143971206	0.0313
0.144571086	0.0313
0.145170966	-0.0175
0.145770846	-0.0887
0.146370726	0.0262
0.146970606	0.1125
0.147570486	0.0013
0.148170366	-0.0688
0.148770246	0.015
0.149370126	0.02
0.149970006	0
0.150569886	0.0387
0.151169766	0.0425
0.151769646	0
0.152369526	-0.0537
0.152969406	-0.0475
0.153569286	0.0537
0.154169166	0.0737
0.154769046	-0.0187
0.155368926	-0.0488
0.155968806	-0.01
0.156568686	-0.025
0.157168566	0.0325
0.157768446	0.0438
0.158368326	-0.0037
0.158968206	-0.0037
0.159568086	-0.015
0.160167966	-0.025
0.160767846	0.0288
0.161367726	0.06
0.161967606	0.03
0.162567487	-0.0025
0.163167367	-0.0612
0.163767247	-0.0425
0.164367127	0.1062
0.164967007	0.065
0.165566887	-0.065
0.166166767	-0.01
0.166766647	0.02
0.167366527	-0.0362
0.167966407	0.025
0.168566287	0.0425
0.169166167	-0.0213
0.169766047	-0.005
0.170365927	-0.0125
0.170965807	-0.0425
0.171565687	-0.0025
0.172165567	0.035
0.172765447	0.0238
0.173365327	0.0138
0.173965207	-0.0362
0.174565087	-0.06
0.175164967	-0.0075
0.175764847	0.0775
0.176364727	0.0525
0.176964607	-0.04
0.177564487	-0.0737
0.178164367	0
0.178764247	0.0462
0.179364127	-0.0063
0.179964007	0.0125
0.180563887	0.0475
0.181163767	-0.0187
0.181763647	-0.0438
0.182363527	0.01
0.182963407	-0.0025
0.183563287	0.05
0.184163167	0.0775
0.184763047	0
0.185362927	-0.0625
0.185962807	0.0013
0.186562687	0.0537
0.187162567	0.0387
0.187762448	0.0225
0.188362328	-0.0025
0.188962208	0.0175
0.189562088	0.0612
0.190161968	0.0125
0.190761848	-0.0325
0.191361728	0.0537
0.191961608	0.1013
0.192561488	0.015
0.193161368	-0.045
0.193761248	0.0112
0.194361128	0.0688
0.194961008	-0.0225
0.195560888	-0.055
0.196160768	0.0488
0.196760648	0.0413
0.197360528	-0.0675
0.197960408	-0.04
0.198560288	0.05
0.199160168	0.045
0.199760048	-0.0163
0.200359928	-0.0588
0.200959808	-0.02
0.201559688	0.055
0.202159568	0.035
0.202759448	-0.0075
0.203359328	0.0163
0.203959208	-0.0187
0.204559088	-0.0537
0.205158968	0.0775
0.205758848	0.0863
0.206358728	-0.025
0.206958608	-0.0213
0.207558488	-0.0088
0.208158368	0.01
0.208758248	0.0663
0.209358128	0.05
0.209958008	0.01
0.210557888	0.0438
0.211157768	-0.0187
0.211757648	-0.0737
0.212357528	0.0325
0.212957409	0.1013
0.213557289	0.0262
0.214157169	-0.0362
0.214757049	-0.0375
0.215356929	0.01
0.215956809	0.02
0.216556689	-0.025
0.217156569	0.005
0.217756449	0.0262
0.218356329	-0.04
0.218956209	-0.0362
0.219556089	0.0088
0.220155969	-0.01
0.220755849	0.0075
0.221355729	0.0138
0.221955609	-0.0462
0.222555489	0.0088
0.223155369	0.0588
0.223755249	-0.01
0.224355129	-0.0313
0.224955009	0.0537
0.225554889	0.0625
0.226154769	0.0325
0.226754649	0.0413
0.227354529	-0.0163
0.227954409	-0.0338
0.228554289	0.0488
0.229154169	0.0975
0.229754049	0.0288
0.230353929	-0.0525
0.230953809	-0.045
0.231553689	0.0525
0.232153569	0.055
0.232753449	0.0037
0.233353329	-0.0037
0.233953209	-0.01
0.234553089	-0.03
0.235152969	-0.0013
0.235752849	0.0387
0.236352729	0.0238
0.236952609	-0.0575
0.23755249	-0.0838
0.23815237	0.0575
0.23875225	0.0513
0.23935213	-0.0663
0.23995201	-0.035
0.24055189	0.0513
0.24115177	-0.0288
0.24175165	-0.04
0.24235153	0.0362
0.24295141	0.0663
0.24355129	0.0362
0.24415117	-0.0575
0.24475105	-0.08
0.24535093	0.04
0.24595081	0.0875
0.24655069	-0.0175
0.24715057	-0.035
0.24775045	-0.045
0.24835033	-0.035
0.24895021	0.0537
0.24955009	0.0563
0.25014997	-0.0238
0.25074985	-0.0387
0.25134973	-0.04
0.25194961	0
0.25254949	0.0488
0.25314937	0.0088
0.25374925	-0.0387
0.25434913	-0.0275
0.25494901	-0.055
0.25554889	-0.0187
0.25614877	0.0638
0.25674865	0.005
0.25734853	-0.0688
0.25794841	-0.045
0.25854829	-0.0387
0.25914817	0
0.25974805	0.025
0.26034793	0
0.26094781	-0.02
0.26154769	-0.0387
0.26214757	-0.0788
0.262747451	0.04
0.263347331	0.11
0.263947211	0.0013
0.264547091	-0.04
0.265146971	-0.0213
0.265746851	0.0037
0.266346731	0.045
0.266946611	0.0375
0.267546491	0.0112
0.268146371	0.0362
0.268746251	-0.0187
0.269346131	-0.1087
0.269946011	0.0225
0.270545891	0.0938
0.271145771	0.0163
0.271745651	-0.0288
0.272345531	-0.0187
0.272945411	-0.0563
0.273545291	0.0288
0.274145171	0.035
0.274745051	-0.0075
0.275344931	0
0.275944811	-0.0325
0.276544691	-0.1113
0.277144571	0.0013
0.277744451	0.0887
0.278344331	-0.03
0.278944211	-0.0875
0.279544091	-0.025
0.280143971	0.015
0.280743851	-0.0075
0.281343731	-0.0187
0.281943611	-0.0075
0.282543491	0.0225
0.283143371	-0.0112
0.283743251	-0.0563
0.284343131	-0.0325
0.284943011	0.045
0.285542891	0.0663
0.286142771	-0.0163
0.286742651	-0.0338
0.287342531	0.035
0.287942412	0.0275
0.288542292	-0.0475
0.289142172	0.0063
0.289742052	0.0688
0.290341932	0.03
0.290941812	-0.0187
0.291541692	-0.0362
0.292141572	-0.0338
0.292741452	0.0375
0.293341332	0.0612
0.293941212	-0.0325
0.294541092	-0.0563
0.295140972	-0.0088
0.295740852	-0.0025
0.296340732	-0.04
0.296940612	0.0163
0.297540492	0.0588
0.298140372	-0.0075
0.298740252	-0.0912
0.299340132	-0.0488
0.299940012	0.0088
0.300539892	-0.0037
0.301139772	0.0325
0.301739652	0
0.302339532	-0.0675
0.302939412	-0.0513
0.303539292	0.0688
0.304139172	0.03
0.304739052	-0.0125
0.305338932	-0.0225
0.305938812	-0.0175
0.306538692	-0.0025
0.307138572	0.015
0.307738452	0.0138
0.308338332	0.05
0.308938212	0.0213
0.309538092	-0.08
0.310137972	-0.0125
0.310737852	0.1087
0.311337732	0.0537
0.311937612	-0.0275
0.312537493	0
0.313137373	0
0.313737253	0.01
0.314337133	0
0.314937013	-0.0163
0.315536893	0.0288
0.316136773	0.0275
0.316736653	-0.0713
0.317336533	-0.0925
0.317936413	0.0462
0.318536293	0.0488
0.319136173	-0.0338
0.319736053	-0.0475
0.320335933	0.03
0.320935813	0.0163
0.321535693	-0.0788
0.322135573	-0.0525
0.322735453	0.0863
0.323335333	0.055
0.323935213	-0.075
0.324535093	-0.0425
0.325134973	0.0288
0.325734853	0
0.326334733	-0.0112
0.326934613	0.045
0.327534493	0.0238
0.328134373	0.0013
0.328734253	0.0013
0.329334133	-0.0175
0.329934013	0.0063
0.330533893	0.0713
0.331133773	0.055
0.331733653	-0.055
0.332333533	-0.06
0.332933413	0.0288
0.333533293	0.0612
0.334133173	-0.005
0.334733053	-0.0438
0.335332933	-0.0187
0.335932813	0.0125
0.336532693	0.0037
0.337132573	-0.0163
0.337732454	0.0187
0.338332334	0.0013
0.338932214	-0.0362
0.339532094	-0.0413
0.340131974	0.0163
0.340731854	0.0088
0.341331734	-0.0163
0.341931614	-0.0013
0.342531494	0
0.343131374	-0.0537
0.343731254	0.005
0.344331134	0.0638
0.344931014	0.025
0.345530894	-0.05
0.346130774	-0.0563
0.346730654	0.0112
0.347330534	0.0675
0.347930414	0.04
0.348530294	0
0.349130174	0.0013
0.349730054	-0.0262
0.350329934	-0.0088
0.350929814	0.0387
0.351529694	0.0737
0.352129574	0.0063
0.352729454	-0.0488
0.353329334	-0.0163
0.353929214	0.035
0.354529094	-0.005
0.355128974	-0.01
0.355728854	0.0112
0.356328734	-0.0325
0.356928614	-0.0438
0.357528494	0.015
0.358128374	0.025
0.358728254	-0.045
0.359328134	-0.0675
0.359928014	-0.0525
0.360527894	0.0425
0.361127774	0.0225
0.361727654	-0.0375
0.362327534	-0.02
0.362927415	-0.0262
0.363527295	-0.075
0.364127175	0.0063
0.364727055	0.07
0.365326935	0.0088
0.365926815	-0.0413
0.366526695	-0.0575
0.367126575	0.0037
0.367726455	0.0675
0.368326335	0.025
0.368926215	0.0013
0.369526095	0.035
0.370125975	-0.0488
0.370725855	-0.0887
0.371325735	0.0525
0.371925615	0.0963
0.372525495	0.0175
0.373125375	-0.0537
0.373725255	-0.07
0.374325135	-0.01
0.374925015	0.045
0.375524895	-0.0088
0.376124775	0.0013
0.376724655	0.0262
0.377324535	-0.0663
0.377924415	-0.1087
0.378524295	0.0438
0.379124175	0.0563
0.379724055	-0.0638
0.380323935	-0.0675
0.380923815	-0.0213
0.381523695	0.015
0.382123575	0
0.382723455	-0.0488
0.383323335	0.0088
0.383923215	0.0537
0.384523095	-0.07
0.385122975	-0.0887
0.385722855	0.0663
